Uniprot Accession,Molecular weight (Da),Description,Gene,abundance_lb_copies_per_cell,abundance_glucose_copies_per_cell
P0A9H1,18643.80808,G/U mismatch-specific DNA glycosylase OS=Escherichia coli (strain K12) GN=mug PE=1 SV=1,mug,136,133
P25397,22498.4033,Tellurite resistance protein TehB OS=Escherichia coli (strain K12) GN=tehB PE=1 SV=1,tehB,106,152
P0ABU9,25563.37328,Protein tolQ OS=Escherichia coli (strain K12) GN=tolQ PE=1 SV=1,tolQ,153,101
P23003,41922.20891,tRNA (uracil-5-)-methyltransferase OS=Escherichia coli (strain K12) GN=trmA PE=1 SV=1,trmA,216,136
P19624,35073.53746,4-hydroxythreonine-4-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=pdxA PE=1 SV=1,pdxA,156,121
P0A935,40367.13776,Membrane-bound lytic murein transglycosylase A OS=Escherichia coli (strain K12) GN=mltA PE=1 SV=1,mltA,324,127
P76290,27740.85535,tRNA (cmo5U34)-methyltransferase OS=Escherichia coli (strain K12) GN=cmoA PE=1 SV=1,cmoA,166,136
P0AAB4,55550.30277,3-octaprenyl-4-hydroxybenzoate carboxy-lyase OS=Escherichia coli (strain K12) GN=ubiD PE=1 SV=1,ubiD,365,108
P0AF03,21191.02051,Molybdopterin adenylyltransferase OS=Escherichia coli (strain K12) GN=mog PE=1 SV=1,mog,386,155
P31802,23542.38514,Nitrate/nitrite response regulator protein narP OS=Escherichia coli (strain K12) GN=narP PE=3 SV=1,narP,397,142
P04982,15264.79589,D-ribose pyranase OS=Escherichia coli (strain K12) GN=rbsD PE=1 SV=3,rbsD,383,107
P14900,46925.84164,UDP-N-acetylmuramoylalanine--D-glutamate ligase OS=Escherichia coli (strain K12) GN=murD PE=1 SV=3,murD,182,123
P76491,22675.59007,5'-nucleotidase yfbR OS=Escherichia coli (strain K12) GN=yfbR PE=1 SV=1,yfbR,110,117
P21645,35997.37746,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase OS=Escherichia coli (strain K12) GN=lpxD PE=1 SV=2,lpxD,205,146
P37765,32673.39599,Ribosomal large subunit pseudouridine synthase B OS=Escherichia coli (strain K12) GN=rluB PE=1 SV=2,rluB,286,112
P0A812,37132.36379,Holliday junction ATP-dependent DNA helicase ruvB OS=Escherichia coli (strain K12) GN=ruvB PE=1 SV=1,ruvB,120,80
P0AG00,39445.94306,Lipopolysaccharide biosynthesis protein wzzE OS=Escherichia coli (strain K12) GN=wzzE PE=1 SV=2,wzzE,237,91
P0ADQ2,37052.70236,Uncharacterized protein yiiD OS=Escherichia coli (strain K12) GN=yiiD PE=4 SV=1,yiiD,119,91
P0ADP2,17133.75136,Uncharacterized protein yigI OS=Escherichia coli (strain K12) GN=yigI PE=4 SV=1,yigI,113,109
P0AEL6,34243.99555,Ferrienterobactin-binding periplasmic protein OS=Escherichia coli (strain K12) GN=fepB PE=1 SV=1,fepB,46,74
P27249,102307.94,[Protein-PII] uridylyltransferase OS=Escherichia coli (strain K12) GN=glnD PE=3 SV=2,glnD,172,92
P0A873,28386.44362,tRNA (guanine-N(1)-)-methyltransferase OS=Escherichia coli (strain K12) GN=trmD PE=1 SV=1,trmD,197,99
P77434,46168.71805,Uncharacterized aminotransferase YfdZ OS=Escherichia coli (strain K12) GN=yfdZ PE=2 SV=1,yfdZ,98,80
P0A951,21855.10936,Spermidine N(1)-acetyltransferase OS=Escherichia coli (strain K12) GN=speG PE=1 SV=2,speG,75,83
P0AEM4,10316.29653,Negative regulator of flagellin synthesis OS=Escherichia coli (strain K12) GN=flgM PE=1 SV=1,flgM,872,889
P0A6G3,17552.71915,Protein YgaD OS=Escherichia coli (strain K12) GN=ygaD PE=1 SV=1,ygaD,114,82
P0AC30,38501.30717,Cell division protein ftsX OS=Escherichia coli (strain K12) GN=ftsX PE=1 SV=1,ftsX,80,70
P0ACI0,33105.8406,Right origin-binding protein OS=Escherichia coli (strain K12) GN=rob PE=1 SV=1,rob,67,60
P23883,53367.43457,Gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=puuC PE=3 SV=2,puuC,8,106
P46852,26244.93963,"Probable quercetin 2,3-dioxygenase yhhW OS=Escherichia coli (strain K12) GN=yhhW PE=1 SV=1",yhhW,56,85
P76034,27567.18184,Uncharacterized HTH-type transcriptional regulator yciT OS=Escherichia coli (strain K12) GN=yciT PE=4 SV=1,yciT,113,94
P77808,44179.54703,CinA-like protein OS=Escherichia coli (strain K12) GN=yfaY PE=1 SV=1,yfaY,122,97
P36879,34607.32501,Uncharacterized ABC transporter ATP-binding protein YadG OS=Escherichia coli (strain K12) GN=yadG PE=1 SV=1,yadG,128,62
P26612,56585.35938,Cytoplasmic alpha-amylase OS=Escherichia coli (strain K12) GN=amyA PE=3 SV=3,amyA,24,26
P0AF20,44495.56096,N-acetylglucosamine repressor OS=Escherichia coli (strain K12) GN=nagC PE=2 SV=1,nagC,122,81
P20099,85778.27471,Biotin sulfoxide reductase OS=Escherichia coli (strain K12) GN=bisC PE=3 SV=3,bisC,227,80
P76397,44419.35351,Multidrug resistance protein mdtA OS=Escherichia coli (strain K12) GN=mdtA PE=2 SV=2,mdtA,25,46
P0A9S3,37348.25439,Galactitol-1-phosphate 5-dehydrogenase OS=Escherichia coli (strain K12) GN=gatD PE=3 SV=1,gatD,132,45
P42596,42286.79116,Ribosomal RNA large subunit methyltransferase G OS=Escherichia coli (strain K12) GN=rlmG PE=1 SV=2,rlmG,111,37
P77348,59844.8587,Periplasmic murein peptide-binding protein OS=Escherichia coli (strain K12) GN=mppA PE=1 SV=2,mppA,129,38
P77150,31284.10111,Pyridoxamine kinase OS=Escherichia coli (strain K12) GN=pdxY PE=1 SV=3,pdxY,172,71
P40191,30810.14428,Pyridoxine kinase OS=Escherichia coli (strain K12) GN=pdxK PE=1 SV=2,pdxK,118,51
P0AFQ7,29772.09642,Uncharacterized deoxyribonuclease ycfH OS=Escherichia coli (strain K12) GN=ycfH PE=1 SV=1,ycfH,36,32
P0AG20,83805.0908,GTP pyrophosphokinase OS=Escherichia coli (strain K12) GN=relA PE=1 SV=1,relA,37,25
P22939,32121.51571,Farnesyl diphosphate synthase OS=Escherichia coli (strain K12) GN=ispA PE=1 SV=1,ispA,72,43
P0ADF6,64579.78427,Phosphogluconate dehydratase OS=Escherichia coli (strain K12) GN=edd PE=2 SV=1,edd,31,62
P21893,63330.91448,Single-stranded-DNA-specific exonuclease recJ OS=Escherichia coli (strain K12) GN=recJ PE=1 SV=2,recJ,35,25
P09148,39602.51619,Galactose-1-phosphate uridylyltransferase OS=Escherichia coli (strain K12) GN=galT PE=1 SV=2,galT,200,27
P12998,41550.25394,8-amino-7-oxononanoate synthase OS=Escherichia coli (strain K12) GN=bioF PE=1 SV=1,bioF,5,32
P27830,39710.89535,"dTDP-glucose 4,6-dehydratase 2 OS=Escherichia coli (strain K12) GN=rffG PE=1 SV=3",rffG,105,40
P29018,64997.28515,ATP-binding/permease protein CydD OS=Escherichia coli (strain K12) GN=cydD PE=1 SV=3,cydD,43,19
Q46851,38789.70115,Uncharacterized protein yghZ OS=Escherichia coli (strain K12) GN=yghZ PE=1 SV=1,yghZ,139,20
P62517,96856.94256,Glucans biosynthesis glucosyltransferase H OS=Escherichia coli (strain K12) GN=mdoH PE=1 SV=1,mdoH,30,30
P0CB39,66549.84405,Phosphoethanolamine transferase CptA OS=Escherichia coli (strain K12) GN=cptA PE=1 SV=1,cptA,36,25
P37690,46548.42826,Uncharacterized protein yibP OS=Escherichia coli (strain K12) GN=yibP PE=4 SV=2,yibP,34,21
P17115,33991.64548,Protein gutQ OS=Escherichia coli (strain K12) GN=gutQ PE=3 SV=3,gutQ,86,27
P0A6S0,24582.36131,Flagellar L-ring protein OS=Escherichia coli (strain K12) GN=flgH PE=3 SV=1,flgH,1027,734
P0AGI8,50318.37257,Trk system potassium uptake protein trkA OS=Escherichia coli (strain K12) GN=trkA PE=1 SV=1,trkA,41,9
P0A7B1,80363.19065,Polyphosphate kinase OS=Escherichia coli (strain K12) GN=ppk PE=1 SV=2,ppk,9,10
P39265,32871.13079,D-allose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=alsB PE=1 SV=1,alsB,178,21
P0A830,45388.7442,Aerobic C4-dicarboxylate transport protein OS=Escherichia coli (strain K12) GN=dctA PE=1 SV=1,dctA,326,28
P75829,38314.69249,Uncharacterized protein ybjX OS=Escherichia coli (strain K12) GN=ybjX PE=4 SV=1,ybjX,32,16
P06710,71075.36174,DNA polymerase III subunit tau OS=Escherichia coli (strain K12) GN=dnaX PE=1 SV=1,dnaX,21,15
P42626,45314.01645,UPF0597 protein yhaM OS=Escherichia coli (strain K12) GN=yhaM PE=3 SV=3,yhaM,47,13
P42593,72614.31572,"2,4-dienoyl-CoA reductase [NADPH] OS=Escherichia coli (strain K12) GN=fadH PE=1 SV=3",fadH,24,9
P77182,74368.85895,tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein mnmC OS=Escherichia coli (strain K12) GN=mnmC PE=1 SV=2,mnmC,14,8
P39829,56348.07443,D-galactarate dehydratase OS=Escherichia coli (strain K12) GN=garD PE=1 SV=2,garD,284,15
P27242,41684.92104,"Lipopolysaccharide 1,2-N-acetylglucosaminetransferase OS=Escherichia coli (strain K12) GN=waaU PE=4 SV=2",waaU,40,9
P07363,71319.95878,Chemotaxis protein CheA OS=Escherichia coli (strain K12) GN=cheA PE=1 SV=3,cheA,109,90
P76578,181455.4179,Uncharacterized lipoprotein yfhM OS=Escherichia coli (strain K12) GN=yfhM PE=4 SV=1,yfhM,5,3
P0A9S1,40600.70263,Lactaldehyde reductase OS=Escherichia coli (strain K12) GN=fucO PE=1 SV=1,fucO,140,13
P62556,43614.36676,Protein sopA OS=Escherichia coli (strain K12) GN=sopA PE=3 SV=1,sopA,14,9
P06282,28414.64391,CDP-diacylglycerol pyrophosphatase OS=Escherichia coli (strain K12) GN=cdh PE=3 SV=1,cdh,31,7
P76503,46483.14049,3-ketoacyl-CoA thiolase OS=Escherichia coli (strain K12) GN=fadI PE=1 SV=1,fadI,10,1
P76104,72638.30677,Uncharacterized protease ydcP OS=Escherichia coli (strain K12) GN=ydcP PE=1 SV=2,ydcP,22,2
P11349,58010.79932,Respiratory nitrate reductase 1 beta chain OS=Escherichia coli (strain K12) GN=narH PE=1 SV=3,narH,13,4
P96329,84894.90028,Phage T7 exclusion protein OS=Escherichia coli (strain K12) GN=pifA PE=4 SV=2,pifA,2,1
P69922,64916.88897,L-fucose isomerase OS=Escherichia coli (strain K12) GN=fucI PE=1 SV=1,fucI,21,1
P0A9Y6,7379.75048,Cold shock-like protein CspC OS=Escherichia coli (strain K12) GN=cspC PE=1 SV=2,cspC,113887,63828
P0A7M6,7250.97238,50S ribosomal protein L29 OS=Escherichia coli (strain K12) GN=rpmC PE=1 SV=1,rpmC,102332,46879
P0A7N4,6424.42095,50S ribosomal protein L32 OS=Escherichia coli (strain K12) GN=rpmF PE=1 SV=2,rpmF,66990,30574
P0A6A8,8616.21013,Acyl carrier protein OS=Escherichia coli (strain K12) GN=acpP PE=1 SV=2,acpP,53955,32760
P0A7T7,8962.83604,30S ribosomal protein S18 OS=Escherichia coli (strain K12) GN=rpsR PE=1 SV=2,rpsR,54794,30457
P0AA04,9095.72664,Phosphocarrier protein HPr OS=Escherichia coli (strain K12) GN=ptsH PE=1 SV=1,ptsH,16005,22358
P0A7L8,9100.87084,50S ribosomal protein L27 OS=Escherichia coli (strain K12) GN=rpmA PE=1 SV=2,rpmA,50679,23051
P0A7N9,6349.6092,50S ribosomal protein L33 OS=Escherichia coli (strain K12) GN=rpmG PE=1 SV=2,rpmG,34276,18938
P0AG59,11555.25364,30S ribosomal protein S14 OS=Escherichia coli (strain K12) GN=rpsN PE=1 SV=2,rpsN,20282,9685
P75694,9871.13374,Uncharacterized protein YahO OS=Escherichia coli (strain K12) GN=yahO PE=3 SV=1,yahO,630,976
P0AG63,9680.27267,30S ribosomal protein S17 OS=Escherichia coli (strain K12) GN=rpsQ PE=1 SV=2,rpsQ,17289,6301
P0AC62,9113.62373,Glutaredoxin-3 OS=Escherichia coli (strain K12) GN=grxC PE=1 SV=2,grxC,5733,4244
P69913,6833.64357,Carbon storage regulator OS=Escherichia coli (strain K12) GN=csrA PE=1 SV=1,csrA,2915,1790
P76569,13372.08984,Uncharacterized protein YfgD OS=Escherichia coli (strain K12) GN=yfgD PE=1 SV=1,yfgD,2336,2285
P0AB14,8501.16875,Uncharacterized protein yccJ OS=Escherichia coli (strain K12) GN=yccJ PE=4 SV=1,yccJ,1257,652
P0AFX0,10725.60191,Probable sigma(54) modulation protein OS=Escherichia coli (strain K12) GN=yhbH PE=1 SV=1,yhbH,1521,2122
P0ADZ0,11174.21232,50S ribosomal protein L23 OS=Escherichia coli (strain K12) GN=rplW PE=1 SV=1,rplW,3465,1589
P0ACE7,13214.88763,HIT-like protein hinT OS=Escherichia coli (strain K12) GN=hinT PE=1 SV=1,hinT,2081,1660
P06989,22723.48932,Histidine biosynthesis bifunctional protein HisIE OS=Escherichia coli (strain K12) GN=hisI PE=3 SV=3,hisI,317,1469
P64506,12352.45278,Uncharacterized protein yebY OS=Escherichia coli (strain K12) GN=yebY PE=4 SV=1,yebY,1457,1319
P0AB52,12666.68706,Protein ychN OS=Escherichia coli (strain K12) GN=ychN PE=1 SV=1,ychN,2321,1552
P0AGJ7,17697.0057,tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmL OS=Escherichia coli (strain K12) GN=trmL PE=1 SV=1,trmL,209,1312
P0AD59,16843.30219,Inhibitor of vertebrate lysozyme OS=Escherichia coli (strain K12) GN=ivy PE=1 SV=1,ivy,461,1032
P0AC55,12233.6764,Nitrogen regulatory protein P-II 2 OS=Escherichia coli (strain K12) GN=glnK PE=1 SV=1,glnK,31,1072
P0A9Z1,12399.5981,Nitrogen regulatory protein P-II 1 OS=Escherichia coli (strain K12) GN=glnB PE=1 SV=1,glnB,1377,1198
P0AB28,19284.5742,Uncharacterized protein yceD OS=Escherichia coli (strain K12) GN=yceD PE=4 SV=1,yceD,1332,968
P64540,9975.83693,Uncharacterized protein yfcL OS=Escherichia coli (strain K12) GN=yfcL PE=4 SV=1,yfcL,1447,1273
P0AF67,16824.38456,UPF0079 ATP-binding protein yjeE OS=Escherichia coli (strain K12) GN=yjeE PE=3 SV=1,yjeE,653,675
P0A722,28044.39864,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase OS=Escherichia coli (strain K12) GN=lpxA PE=1 SV=1,lpxA,1121,790
P0AB38,22483.39362,Penicillin-binding protein activator LpoB OS=Escherichia coli (strain K12) GN=lpoB PE=1 SV=1,lpoB,436,626
P0A8R0,17331.58603,Regulator of ribonuclease activity A OS=Escherichia coli (strain K12) GN=rraA PE=1 SV=1,rraA,686,684
P75849,23750.94389,Uncharacterized protein ycbL OS=Escherichia coli (strain K12) GN=ycbL PE=3 SV=1,ycbL,546,551
P67095,20091.35787,Phosphodiesterase yfcE OS=Escherichia coli (strain K12) GN=yfcE PE=1 SV=1,yfcE,841,622
P75915,20693.05671,Uncharacterized protein ycdY OS=Escherichia coli (strain K12) GN=ycdY PE=3 SV=1,ycdY,627,597
P0ABE2,11968.08703,Protein BolA OS=Escherichia coli (strain K12) GN=bolA PE=1 SV=1,bolA,486,399
P23894,31884.55363,Protease HtpX OS=Escherichia coli (strain K12) GN=htpX PE=1 SV=1,htpX,793,601
P0ABU0,31594.51617,"1,4-Dihydroxy-2-naphthoyl-CoA synthase OS=Escherichia coli (strain K12) GN=menB PE=1 SV=1",menB,631,433
P52643,36493.43166,D-lactate dehydrogenase OS=Escherichia coli (strain K12) GN=ldhA PE=1 SV=1,ldhA,595,422
P0AB26,20468.68601,Uncharacterized lipoprotein yceB OS=Escherichia coli (strain K12) GN=yceB PE=1 SV=1,yceB,681,386
P30749,16952.51163,Molybdopterin synthase catalytic subunit OS=Escherichia coli (strain K12) GN=moaE PE=1 SV=3,moaE,523,349
P32664,29651.80095,NADH pyrophosphatase OS=Escherichia coli (strain K12) GN=nudC PE=1 SV=2,nudC,677,426
P0ADX1,14489.33748,Protein yhfA OS=Escherichia coli (strain K12) GN=yhfA PE=1 SV=1,yhfA,357,551
P0A8W2,16324.93091,Transcriptional regulator slyA OS=Escherichia coli (strain K12) GN=slyA PE=3 SV=1,slyA,348,402
P0A962,37085.75937,L-asparaginase 1 OS=Escherichia coli (strain K12) GN=ansA PE=1 SV=1,ansA,414,358
P0AEM0,16052.92141,FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase OS=Escherichia coli (strain K12) GN=fkpB PE=1 SV=2,fkpB,749,457
P0ACA1,22512.80566,Uncharacterized GST-like protein yibF OS=Escherichia coli (strain K12) GN=yibF PE=1 SV=1,yibF,180,246
P0A8I5,27271.69709,tRNA (guanine-N(7)-)-methyltransferase OS=Escherichia coli (strain K12) GN=trmB PE=1 SV=1,trmB,705,371
P0AAS7,7366.85319,Uncharacterized protein ybcJ OS=Escherichia coli (strain K12) GN=ybcJ PE=1 SV=1,ybcJ,275,356
P0AF50,13492.97324,Uncharacterized protein yjbR OS=Escherichia coli (strain K12) GN=yjbR PE=1 SV=1,yjbR,444,383
P37745,21238.76459,"dTDP-4-dehydrorhamnose 3,5-epimerase OS=Escherichia coli (strain K12) GN=rfbC PE=1 SV=1",rfbC,870,446
P0ACE3,8604.45853,Hemolysin expression-modulating protein OS=Escherichia coli (strain K12) GN=hha PE=1 SV=1,hha,276,334
P31658,31152.59493,Chaperone protein hchA OS=Escherichia coli (strain K12) GN=hchA PE=1 SV=3,hchA,111,114
P67603,11879.8891,UPF0267 protein yqfB OS=Escherichia coli (strain K12) GN=yqfB PE=1 SV=1,yqfB,480,384
P0AGG8,51314.11743,Protein tldD OS=Escherichia coli (strain K12) GN=tldD PE=1 SV=1,tldD,267,200
P0AGB6,21664.26101,RNA polymerase sigma-E factor OS=Escherichia coli (strain K12) GN=rpoE PE=1 SV=1,rpoE,308,303
P36680,28255.84769,UPF0289 protein yacF OS=Escherichia coli (strain K12) GN=yacF PE=3 SV=2,yacF,370,286
P63228,21262.52226,"D,D-heptose 1,7-bisphosphate phosphatase OS=Escherichia coli (strain K12) GN=gmhB PE=1 SV=1",gmhB,276,286
P0A759,29737.06131,Glucosamine-6-phosphate deaminase OS=Escherichia coli (strain K12) GN=nagB PE=1 SV=1,nagB,667,181
P0AGG2,31928.35792,Acyl-CoA thioesterase 2 OS=Escherichia coli (strain K12) GN=tesB PE=1 SV=2,tesB,224,127
P10100,37486.83992,Rare lipoprotein A OS=Escherichia coli (strain K12) GN=rlpA PE=1 SV=1,rlpA,272,243
P76193,36041.90682,"Probable L,D-transpeptidase YnhG OS=Escherichia coli (strain K12) GN=ynhG PE=1 SV=1",ynhG,26,89
P64483,17821.38202,Uncharacterized protein yeaK OS=Escherichia coli (strain K12) GN=yeaK PE=4 SV=1,yeaK,314,409
P08179,23205.81467,Phosphoribosylglycinamide formyltransferase OS=Escherichia coli (strain K12) GN=purN PE=1 SV=1,purN,56,145
P0A729,21659.17378,Maf-like protein yceF OS=Escherichia coli (strain K12) GN=yceF PE=3 SV=1,yceF,159,209
P0A7I7,21804.17238,GTP cyclohydrolase-2 OS=Escherichia coli (strain K12) GN=ribA PE=1 SV=1,ribA,339,196
P0AC84,28398.34858,Hydroxyacylglutathione hydrolase OS=Escherichia coli (strain K12) GN=gloB PE=1 SV=1,gloB,238,204
P76187,33636.33205,Oxidoreductase YdhF OS=Escherichia coli (strain K12) GN=ydhF PE=1 SV=2,ydhF,290,176
P0ABQ4,17969.89353,Dihydrofolate reductase OS=Escherichia coli (strain K12) GN=folA PE=1 SV=1,folA,387,249
P77756,25479.74638,7-cyano-7-deazaguanine synthase OS=Escherichia coli (strain K12) GN=queC PE=1 SV=1,queC,398,250
P0AAT9,18767.35743,Uncharacterized protein ybeL OS=Escherichia coli (strain K12) GN=ybeL PE=4 SV=1,ybeL,86,83
P0C0R7,23302.1049,Ribosomal RNA large subunit methyltransferase E OS=Escherichia coli (strain K12) GN=rlmE PE=1 SV=1,rlmE,456,215
Q47150,9381.99717,Antitoxin DinJ OS=Escherichia coli (strain K12) GN=dinJ PE=1 SV=1,dinJ,280,248
P0ABI4,36548.54499,Magnesium transport protein CorA OS=Escherichia coli (strain K12) GN=corA PE=1 SV=1,corA,280,130
P64455,8776.45239,Uncharacterized protein ydcY OS=Escherichia coli (strain K12) GN=ydcY PE=4 SV=1,ydcY,287,274
P0C079,9047.79287,Antitoxin RelB OS=Escherichia coli (strain K12) GN=relB PE=1 SV=1,relB,240,185
P39315,29697.29065,Quinone oxidoreductase 2 OS=Escherichia coli (strain K12) GN=qorB PE=1 SV=1,qorB,80,84
P34209,29668.99626,Protein ydcF OS=Escherichia coli (strain K12) GN=ydcF PE=1 SV=3,ydcF,130,162
P0AGL7,26943.02532,Ribosomal RNA small subunit methyltransferase E OS=Escherichia coli (strain K12) GN=rsmE PE=1 SV=1,rsmE,193,194
P0A8W0,29488.0806,Transcriptional regulator nanR OS=Escherichia coli (strain K12) GN=nanR PE=3 SV=1,nanR,216,166
P0A720,23750.43554,Thymidylate kinase OS=Escherichia coli (strain K12) GN=tmk PE=1 SV=1,tmk,199,146
P0A8D0,17199.80889,Transcriptional repressor NrdR OS=Escherichia coli (strain K12) GN=nrdR PE=1 SV=1,nrdR,183,139
P0A7A5,23225.31917,Protein-L-isoaspartate O-methyltransferase OS=Escherichia coli (strain K12) GN=pcm PE=1 SV=2,pcm,194,179
P32680,22580.06443,Uncharacterized protein yjaG OS=Escherichia coli (strain K12) GN=yjaG PE=4 SV=1,yjaG,275,188
P0ADA1,23589.14381,Acyl-CoA thioesterase I OS=Escherichia coli (strain K12) GN=tesA PE=1 SV=1,tesA,135,174
P76243,13359.93617,Uncharacterized protein yeaO OS=Escherichia coli (strain K12) GN=yeaO PE=1 SV=2,yeaO,37,104
P0AGF2,15912.30672,Uncharacterized sufE-like protein ygdK OS=Escherichia coli (strain K12) GN=ygdK PE=1 SV=1,ygdK,149,141
P12995,47286.45536,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase OS=Escherichia coli (strain K12) GN=bioA PE=1 SV=2,bioA,22,119
P02929,26059.99904,Protein tonB OS=Escherichia coli (strain K12) GN=tonB PE=1 SV=2,tonB,91,120
P77202,27459.24651,Thiol:disulfide interchange protein DsbG OS=Escherichia coli (strain K12) GN=dsbG PE=1 SV=2,dsbG,160,116
P27838,12205.80259,Protein CyaY OS=Escherichia coli (strain K12) GN=cyaY PE=1 SV=1,cyaY,218,161
P15078,75037.56526,Carbon starvation protein A OS=Escherichia coli (strain K12) GN=cstA PE=1 SV=3,cstA,364,83
P0ACN4,29233.2666,HTH-type transcriptional repressor AllR OS=Escherichia coli (strain K12) GN=allR PE=1 SV=1,allR,111,125
P25536,21484.15183,Maf-like protein yhdE OS=Escherichia coli (strain K12) GN=yhdE PE=1 SV=1,yhdE,107,107
P76108,42250.08416,Putative ABC transporter periplasmic-binding protein ydcS OS=Escherichia coli (strain K12) GN=ydcS PE=3 SV=1,ydcS,112,111
P64429,31422.2905,Uncharacterized protein ypfJ OS=Escherichia coli (strain K12) GN=ypfJ PE=4 SV=1,ypfJ,88,78
P0AFD4,36176.95551,NADH-quinone oxidoreductase subunit H OS=Escherichia coli (strain K12) GN=nuoH PE=1 SV=1,nuoH,180,41
P0AA91,20889.78297,Uncharacterized lipoprotein yeaY OS=Escherichia coli (strain K12) GN=yeaY PE=4 SV=1,yeaY,113,90
P0AG40,34694.52422,Riboflavin biosynthesis protein ribF OS=Escherichia coli (strain K12) GN=ribF PE=1 SV=1,ribF,117,93
P0ADT2,23446.17182,UPF0441 protein ygiB OS=Escherichia coli (strain K12) GN=ygiB PE=3 SV=2,ygiB,138,120
P0AEX5,32305.49054,Probable phosphoribulokinase OS=Escherichia coli (strain K12) GN=prkB PE=3 SV=1,prkB,89,101
P31455,46139.8176,Uncharacterized protein YidR OS=Escherichia coli (strain K12) GN=yidR PE=4 SV=4,yidR,50,74
P06616,33770.76018,GTPase Era OS=Escherichia coli (strain K12) GN=era PE=1 SV=2,era,172,98
P0A8I1,15158.94146,Putative Holliday junction resolvase OS=Escherichia coli (strain K12) GN=yqgF PE=1 SV=1,yqgF,105,76
P0A959,45470.38651,Uncharacterized aminotransferase YfbQ OS=Escherichia coli (strain K12) GN=yfbQ PE=1 SV=1,yfbQ,55,101
P77791,20065.24705,Maltose O-acetyltransferase OS=Escherichia coli (strain K12) GN=maa PE=1 SV=3,maa,435,47
P12295,25659.18035,Uracil-DNA glycosylase OS=Escherichia coli (strain K12) GN=ung PE=1 SV=2,ung,121,90
P67826,26726.4102,Copper homeostasis protein CutC OS=Escherichia coli (strain K12) GN=cutC PE=3 SV=1,cutC,91,68
P0AFX9,35709.28651,Sigma-E factor regulatory protein rseB OS=Escherichia coli (strain K12) GN=rseB PE=1 SV=1,rseB,73,80
P0ACB4,21194.86359,Protoporphyrinogen IX dehydrogenase [menaquinone] OS=Escherichia coli (strain K12) GN=hemG PE=1 SV=1,hemG,88,57
Q47147,28599.20568,Putative glutamine amidotransferase yafJ OS=Escherichia coli (strain K12) GN=yafJ PE=4 SV=1,yafJ,68,69
P0AFJ1,12318.96123,Protein phnA OS=Escherichia coli (strain K12) GN=phnA PE=4 SV=1,phnA,227,99
P76014,22599.29494,"PTS-dependent dihydroxyacetone kinase, ADP-binding subunit dhaL OS=Escherichia coli (strain K12) GN=dhaL PE=1 SV=3",dhaL,48,38
P0AFH6,32982.33712,Oligopeptide transport system permease protein oppC OS=Escherichia coli (strain K12) GN=oppC PE=1 SV=1,oppC,93,447
P0AFB5,38514.26871,Nitrogen regulation protein NR(II) OS=Escherichia coli (strain K12) GN=glnL PE=1 SV=1,glnL,10,54
P76550,29714.05213,Uncharacterized protein yffS OS=Escherichia coli (strain K12) GN=yffS PE=4 SV=2,yffS,148,72
P08373,37809.27369,UDP-N-acetylenolpyruvoylglucosamine reductase OS=Escherichia coli (strain K12) GN=murB PE=1 SV=1,murB,51,56
P77775,32660.18647,Epimerase family protein yfcH OS=Escherichia coli (strain K12) GN=yfcH PE=3 SV=1,yfcH,44,39
P77293,34595.50641,Bactoprenol glucosyl transferase homolog from prophage CPS-53 OS=Escherichia coli (strain K12) GN=yfdH PE=1 SV=1,yfdH,122,37
P31134,41885.69734,Putrescine transport ATP-binding protein PotG OS=Escherichia coli (strain K12) GN=potG PE=3 SV=2,potG,4,43
P39280,38707.24591,Uncharacterized KamA family protein YjeK OS=Escherichia coli (strain K12) GN=yjeK PE=3 SV=1,yjeK,62,55
P0A8I8,17312.14939,Ribosomal RNA large subunit methyltransferase H OS=Escherichia coli (strain K12) GN=rlmH PE=1 SV=1,rlmH,91,54
P0CE60,37809.31919,Transposase insH for insertion sequence element IS5-13 OS=Escherichia coli (strain K12) GN=JW5895 PE=3 SV=1,JW58,140,91
P75777,36375.63323,UPF0194 membrane protein ybhG OS=Escherichia coli (strain K12) GN=ybhG PE=3 SV=1,ybhG,75,39
P24205,37368.31401,Lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase OS=Escherichia coli (strain K12) GN=msbB PE=1 SV=1,msbB,59,30
P0AEA8,49901.99833,Siroheme synthase OS=Escherichia coli (strain K12) GN=cysG PE=1 SV=1,cysG,52,42
P43671,60464.49609,Paraquat-inducible protein B OS=Escherichia coli (strain K12) GN=pqiB PE=2 SV=2,pqiB,79,32
P0ACR4,32685.2267,Uncharacterized HTH-type transcriptional regulator yeiE OS=Escherichia coli (strain K12) GN=yeiE PE=4 SV=1,yeiE,54,35
