Uniprot Accession,Description,Gene,Peptides.used.for.quantitation,Confidence.score,Molecular weight (Da),Dataset,Glucose,LB,Glycerol + AA,Acetate,Fumarate,Glucosamine,Glycerol,Pyruvate,Chemostat µ=0.5,Chemostat µ=0.35,Chemostat µ=0.20,Chemostat µ=0.12,Stationary phase 1 day,Stationary phase 3 days,Osmotic-stress glucose,42°C glucose,pH6 glucose,Xylose,Mannose,Galactose ,Succinate,Fructose
P39310,Uncharacterized protein ytfB OS=Escherichia coli (strain K12) GN=ytfB PE=4 SV=2,ytfB,4,186.12,23472.89561,2,194,222,211,162,173,211,229,241,147,159,155,150,143,62,252,205,232,201,171,169,128,168
P39315,Quinone oxidoreductase 2 OS=Escherichia coli (strain K12) GN=qorB PE=1 SV=1,qorB,4,250.81,29697.29065,2,269,131,260,171,176,224,234,192,220,170,171,165,84,92,233,217,494,173,246,200,238,286
P0ADE4,Uncharacterized protein ytfM OS=Escherichia coli (strain K12) GN=ytfM PE=1 SV=1,tamA,4,189.9,64738.07628,2,36,60,44,25,24,36,29,24,23,20,20,16,32,35,65,37,41,35,24,29,22,27
Q47150,Antitoxin DinJ OS=Escherichia coli (strain K12) GN=dinJ PE=1 SV=1,dinJ,4,313.29,9381.99717,2,260,344,254,196,155,174,138,140,154,136,113,97,28,16,189,111,183,179,156,144,127,177
P0ACF4,DNA-binding protein HU-beta OS=Escherichia coli (strain K12) GN=hupB PE=1 SV=1,hupB,4,301.23,9201.98388,2,41918,80032,76978,29079,42130,47813,38259,41530,39205,49778,43029,34675,18759,16584,35054,18830,20880,34508,42737,25362,32349,26074
P23367,DNA mismatch repair protein mutL OS=Escherichia coli (strain K12) GN=mutL PE=1 SV=2,mutL,4,185.38,67863.65578,2,8,11,4,10,13,13,15,17,27,28,27,29,13,6,8,8,10,9,14,7,11,12
P03018,DNA helicase II OS=Escherichia coli (strain K12) GN=uvrD PE=1 SV=1,uvrD,4,217.92,81920.30694,2,31,119,57,32,30,47,36,30,53,39,43,42,26,11,32,29,29,38,25,30,30,36
P0A8G9,Exodeoxyribonuclease 7 small subunit OS=Escherichia coli (strain K12) GN=xseB PE=1 SV=2,xseB,4,208.62,8928.51546,2,921,1353,1020,637,968,765,707,634,738,588,571,492,572,611,902,766,1068,735,848,697,965,827
Q93K97,ADP-ribose pyrophosphatase OS=Escherichia coli (strain K12) GN=nudF PE=1 SV=2,nudF,4,273.04,23634.09928,2,139,179,163,106,123,116,125,116,86,95,108,76,55,50,132,152,96,104,176,133,95,122
P0AFH0,Methylated-DNA--protein-cysteine methyltransferase OS=Escherichia coli (strain K12) GN=ogt PE=1 SV=1,ogt,4,262.85,19148.91391,1,57,42,NA,22,33,36,50,50,49,53,6,21,25,41,6,75,27,NA,NA,25,35,NA
P25888,ATP-dependent RNA helicase rhlE OS=Escherichia coli (strain K12) GN=rhlE PE=1 SV=3,rhlE,4,167.68,49940.79918,2,25,54,9,2,2,5,2,1,2,1,1,1,1,0,1,1,1,1,0,0,0,0
P37128,GDP-mannose pyrophosphatase nudK OS=Escherichia coli (strain K12) GN=nudK PE=1 SV=2,nudK,4,178.09,21717.06677,2,2491,5183,3571,1048,1875,1826,2147,1571,1704,1263,970,940,1161,1220,2200,2763,2287,2396,1759,1209,1770,2508
P0A9Y6,Cold shock-like protein CspC OS=Escherichia coli (strain K12) GN=cspC PE=1 SV=2,cspC,4,345.96,7379.75048,2,58803,117057,101736,39126,55765,61231,53740,38415,50930,41281,33412,26165,25339,22162,67410,42695,75825,60589,55898,33464,53859,63286
P0A968,Cold shock-like protein CspD OS=Escherichia coli (strain K12) GN=cspD PE=1 SV=1,cspD,4,294.01,7945.88707,2,1247,10716,6942,2724,6229,3808,4436,4438,4655,5523,4904,4740,322,111,729,1157,272,1646,4323,3656,6195,2494
P0A972,Cold shock-like protein CspE OS=Escherichia coli (strain K12) GN=cspE PE=1 SV=2,cspE,4,223.44,7440.80325,2,17168,43365,24677,7177,16219,14742,17206,16629,11566,8889,6804,5641,1473,1034,11440,7685,12419,15989,13733,9117,17217,20953
P0ACL5,Glc operon transcriptional activator OS=Escherichia coli (strain K12) GN=glcC PE=4 SV=1,glcC,4,177.75,28790.28432,2,19,94,48,42,76,52,22,54,58,83,57,70,14,22,99,19,70,53,42,40,52,13
P36771,Probable HTH-type transcriptional regulator lrhA OS=Escherichia coli (strain K12) GN=lrhA PE=4 SV=2,lrhA,4,177.24,34553.72226,2,18,44,34,13,44,30,36,47,43,38,37,53,3,3,5,33,2,19,38,33,46,31
P0A8W0,Transcriptional regulator nanR OS=Escherichia coli (strain K12) GN=nanR PE=3 SV=1,nanR,4,251.29,29488.0806,2,117,202,112,78,94,140,92,102,75,54,58,46,86,110,170,290,134,122,129,95,110,119
P0A6Z6,Nickel-responsive regulator OS=Escherichia coli (strain K12) GN=nikR PE=1 SV=1,nikR,4,422.5,15066.51645,2,541,642,545,255,578,538,734,857,659,564,507,357,343,414,894,955,1154,902,952,744,744,916
P76086,Phenylacetic acid degradation operon negative regulatory protein paaX OS=Escherichia coli (strain K12) GN=paaX PE=1 SV=1,paaX,4,190.88,35254.60123,2,11,32,31,25,36,19,18,26,47,70,65,64,3,7,9,18,13,11,28,39,40,33
P0ACL9,Pyruvate dehydrogenase complex repressor OS=Escherichia coli (strain K12) GN=pdhR PE=1 SV=1,pdhR,4,224.5,29389.36331,2,102,106,48,52,83,42,48,324,61,43,28,29,19,35,79,86,96,104,42,23,36,86
P0ACR4,Uncharacterized HTH-type transcriptional regulator yeiE OS=Escherichia coli (strain K12) GN=yeiE PE=4 SV=1,yeiE,4,150.44,32685.2267,2,122,161,104,66,67,69,74,46,60,45,45,37,29,22,28,53,42,36,35,29,27,42
P0ACK2,Putative aga operon transcriptional repressor OS=Escherichia coli (strain K12) GN=agaR PE=4 SV=1,agaR,4,130.9,29536.09198,2,30,53,37,29,23,25,30,27,23,23,22,16,8,6,27,42,24,30,38,22,24,34
P32144,Uncharacterized HTH-type transcriptional regulator yihW OS=Escherichia coli (strain K12) GN=yihW PE=4 SV=2,yihW,4,148.82,28471.68182,2,39,135,90,43,69,53,61,62,58,55,46,60,12,14,23,51,34,40,51,50,47,47
P0ACL7,Putative L-lactate dehydrogenase operon regulatory protein OS=Escherichia coli (strain K12) GN=lldR PE=2 SV=1,lldR,4,148.17,29129.87064,1,17,115,NA,4,11,8,22,15,10,9,32,5,1,3,8,101,5,NA,NA,5,14,NA
P13669,Mannosyl-D-glycerate transport/metabolism system repressor mngR OS=Escherichia coli (strain K12) GN=mngR PE=1 SV=1,mngR,4,219.41,28237.64919,1,54,3,NA,30,19,35,24,27,22,24,2,18,4,10,32,44,25,NA,NA,11,17,NA
P77295,Probable HTH-type transcriptional regulator ygaV OS=Escherichia coli (strain K12) GN=ygaV PE=1 SV=1,ygaV,4,398.22,10571.51605,1,143,131,NA,88,130,74,88,58,72,94,158,45,48,56,80,123,122,NA,NA,53,89,NA
P0ACS5,HTH-type transcriptional regulator zntR OS=Escherichia coli (strain K12) GN=zntR PE=1 SV=1,zntR,4,149.32,16151.02009,1,26,49,NA,16,48,23,25,29,19,33,66,4,2,4,10,16,21,NA,NA,5,22,NA
P06961,Multifunctional CCA protein OS=Escherichia coli (strain K12) GN=cca PE=1 SV=1,cca,4,145.73,46419.98726,2,64,88,54,52,45,38,37,45,44,48,46,43,14,21,53,41,62,50,39,56,44,45
P69222,Translation initiation factor IF-1 OS=Escherichia coli (strain K12) GN=infA PE=1 SV=2,infA,4,271.54,8226.3118,2,4495,9064,4501,1912,2537,3251,2424,2084,2658,2018,1730,1148,586,2202,5233,3883,5409,3266,2419,2091,2592,2997
P0A7I0,Peptide chain release factor 1 OS=Escherichia coli (strain K12) GN=prfA PE=1 SV=1,prfA,4,259.39,40474.19405,2,231,374,244,98,177,149,218,174,140,115,66,80,42,46,96,114,102,63,70,71,80,79
P21338,Ribonuclease I OS=Escherichia coli (strain K12) GN=rna PE=1 SV=1,rna,4,135.8,29580.708,2,50,98,62,37,43,43,50,36,48,46,42,43,67,57,114,95,91,53,33,131,38,68
P0A7L3,50S ribosomal protein L20 OS=Escherichia coli (strain K12) GN=rplT PE=1 SV=2,rplT,4,230.63,13470.66136,2,3577,11237,7671,1635,2591,3527,3342,2641,5807,3824,2937,2671,1463,2013,2516,6106,3773,4358,2736,1496,2870,6572
P0ADZ0,50S ribosomal protein L23 OS=Escherichia coli (strain K12) GN=rplW PE=1 SV=1,rplW,4,148.8,11174.21232,2,1877,4678,3019,820,1366,1480,1749,1198,1499,1063,915,698,1092,1157,1582,2967,1859,1982,1401,1042,1529,2665
P0A7L8,50S ribosomal protein L27 OS=Escherichia coli (strain K12) GN=rpmA PE=1 SV=2,rpmA,4,178.36,9100.87084,2,23305,59704,41239,9418,14556,15072,18782,12112,15956,9200,7875,6129,9227,8422,19294,25817,25927,20587,14819,11824,17917,26384
P0A7M6,50S ribosomal protein L29 OS=Escherichia coli (strain K12) GN=rpmC PE=1 SV=1,rpmC,4,372.37,7250.97238,2,52939,119802,90391,24944,25887,37422,39271,31420,31319,23715,16960,14429,24808,23753,44300,46739,34985,57822,38010,25935,34005,48729
P0A7N4,50S ribosomal protein L32 OS=Escherichia coli (strain K12) GN=rpmF PE=1 SV=2,rpmF,4,368.52,6424.42095,2,26636,68790,46264,11126,17757,19648,18420,13968,15444,11062,9690,6799,12717,11561,29231,26815,30557,22148,15179,9114,16295,23130
P0A7N9,50S ribosomal protein L33 OS=Escherichia coli (strain K12) GN=rpmG PE=1 SV=2,rpmG,4,324.7,6349.6092,2,27960,66457,44359,10243,15394,18573,18238,13590,14514,10496,7894,6106,13596,12037,28079,28116,24767,21835,16087,10755,15398,23141
P0AG59,30S ribosomal protein S14 OS=Escherichia coli (strain K12) GN=rpsN PE=1 SV=2,rpsN,4,296.13,11555.25364,2,10079,22731,16504,4660,6523,7236,7626,5645,6477,3999,3769,2410,4747,2924,8447,10970,9253,8288,6781,4970,7767,11923
P0ADZ4,30S ribosomal protein S15 OS=Escherichia coli (strain K12) GN=rpsO PE=1 SV=2,rpsO,4,413.65,10244.49567,2,33110,60729,45009,18916,26735,23327,28045,22643,25282,17606,13940,12646,16267,23839,39018,41697,37367,47120,37857,28441,38531,62565
P0AG63,30S ribosomal protein S17 OS=Escherichia coli (strain K12) GN=rpsQ PE=1 SV=2,rpsQ,4,342.47,9680.27267,2,4180,28222,21434,5658,9031,8400,9601,5935,14762,8697,7063,5297,5430,7179,17265,12899,15304,11276,2194,7723,5963,10147
P0AFX0,Probable sigma(54) modulation protein OS=Escherichia coli (strain K12) GN=yhbH PE=1 SV=1,hpf,4,310.28,10725.60191,2,2312,1991,1929,2958,2551,2453,2450,2288,1980,2016,1669,2064,4011,3420,6194,3223,5197,2629,2426,2524,2143,1731
P37765,Ribosomal large subunit pseudouridine synthase B OS=Escherichia coli (strain K12) GN=rluB PE=1 SV=2,rluB,4,234.74,32673.39599,2,114,294,204,64,90,112,78,60,153,117,103,92,45,32,73,109,99,107,78,56,78,109
P36929,Ribosomal RNA small subunit methyltransferase B OS=Escherichia coli (strain K12) GN=rsmB PE=1 SV=2,rsmB,4,353.13,48299.01648,2,58,203,128,36,47,49,50,39,65,45,40,44,51,63,55,48,61,55,20,21,22,35
P0AGJ2,tRNA guanosine-2'-O-methyltransferase OS=Escherichia coli (strain K12) GN=trmH PE=1 SV=1,trmH,4,86.05,25308.74949,2,25,70,50,12,16,24,13,15,10,6,6,6,9,3,3,2,8,3,7,3,8,6
P0AEB7,RutC family protein yoaB OS=Escherichia coli (strain K12) GN=yoaB PE=3 SV=1,yoaB,4,160.35,12467.33865,2,1854,1764,1714,1379,1450,1590,1509,1378,1397,1128,929,917,976,1197,2653,2207,2099,1784,1643,1409,1616,2185
Q46893,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase OS=Escherichia coli (strain K12) GN=ispD PE=1 SV=3,ispD,4,216.4,25703.19589,2,67,140,112,47,59,49,50,53,71,58,49,40,26,46,80,36,79,54,28,30,29,41
P0AGG2,Acyl-CoA thioesterase 2 OS=Escherichia coli (strain K12) GN=tesB PE=1 SV=2,tesB,4,208.68,31928.35792,2,239,273,183,191,179,158,195,245,170,150,158,160,157,201,286,265,277,282,216,189,181,247
P0A6A8,Acyl carrier protein OS=Escherichia coli (strain K12) GN=acpP PE=1 SV=2,acpP,4,221.98,8616.21013,2,28944,45220,44830,15267,28323,25541,28863,24576,22145,18604,15805,15707,34369,30818,44145,51498,41610,34870,30252,25650,29705,30852
P31551,Carnitinyl-CoA dehydratase OS=Escherichia coli (strain K12) GN=caiD PE=1 SV=4,caiD,4,162.22,28154.48043,1,59,11,NA,12,16,11,12,10,28,36,35,11,11,12,1,8,19,NA,NA,9,22,NA
P0AGL5,Putative toxin YfjG OS=Escherichia coli (strain K12) GN=yfjG PE=1 SV=1,yfjG,4,372.65,17697.12318,1,33,242,NA,6,14,15,11,11,9,17,12,1,6,19,54,23,54,NA,NA,5,8,NA
P62623,4-hydroxy-3-methylbut-2-enyl diphosphate reductase OS=Escherichia coli (strain K12) GN=ispH PE=1 SV=1,ispH,4,238.28,34734.93615,2,224,430,403,119,156,135,207,180,143,123,85,62,11,68,104,150,140,153,144,92,135,190
P0A6H8,Cardiolipin synthase OS=Escherichia coli (strain K12) GN=cls PE=1 SV=1,clsA,4,163.6,54768.54586,2,10,14,7,10,9,16,9,9,40,30,29,30,13,11,9,21,17,14,11,7,11,23
P0AF03,Molybdopterin adenylyltransferase OS=Escherichia coli (strain K12) GN=mog PE=1 SV=1,mog,4,204.99,21191.02051,2,47,181,130,48,68,64,44,48,34,27,25,20,11,5,10,13,13,7,23,13,18,19
P40191,Pyridoxine kinase OS=Escherichia coli (strain K12) GN=pdxK PE=1 SV=2,pdxK,4,236.41,30810.14428,2,52,222,228,148,94,152,145,121,235,183,143,101,77,83,272,88,199,172,80,83,85,80
P26602,Chorismate--pyruvate lyase OS=Escherichia coli (strain K12) GN=ubiC PE=1 SV=2,ubiC,4,147.07,18747.04431,2,154,293,308,120,165,157,141,110,148,118,110,65,30,30,103,53,106,104,116,71,110,98
P12999,Biotin synthesis protein BioC OS=Escherichia coli (strain K12) GN=bioC PE=3 SV=2,bioC,4,114.01,28240.51128,1,6,1,NA,4,1,13,15,10,1,5,1,0,1,0,0,1,18,NA,NA,3,10,NA
P06709,Bifunctional protein BirA OS=Escherichia coli (strain K12) GN=birA PE=1 SV=1,birA,4,150.47,35271.8493,2,19,37,21,9,15,15,17,22,17,14,11,11,4,3,7,9,9,10,15,13,19,23
P12282,Sulfur carrier protein moaD adenylyltransferase OS=Escherichia coli (strain K12) GN=moeB PE=1 SV=1,moeB,4,235.78,26683.37614,1,94,106,NA,65,24,58,35,43,51,65,7,33,5,7,11,37,15,NA,NA,31,55,NA
P0A8R0,Regulator of ribonuclease activity A OS=Escherichia coli (strain K12) GN=rraA PE=1 SV=1,rraA,4,250.71,17331.58603,2,1559,1921,1599,977,1185,1340,1210,1508,1028,904,1006,976,1614,1413,1763,2293,2090,1591,1277,1268,1125,1262
P76422,Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase OS=Escherichia coli (strain K12) GN=thiD PE=1 SV=1,thiD,4,209.42,28597.62787,1,28,143,NA,11,20,15,56,25,10,12,10,8,3,3,21,24,9,NA,NA,6,21,NA
P0AC28,Uncharacterized protein ygfA OS=Escherichia coli (strain K12) GN=ygfA PE=1 SV=1,ygfA,4,222.78,21073.86529,1,35,33,NA,6,16,26,11,11,11,10,6,3,3,6,7,9,9,NA,NA,6,14,NA
P25535,Protein visC OS=Escherichia coli (strain K12) GN=visC PE=3 SV=2,ubiI,4,173.75,44198.77605,2,17,41,26,13,19,23,19,20,22,19,17,13,6,3,11,21,19,19,17,10,18,21
P69922,L-fucose isomerase OS=Escherichia coli (strain K12) GN=fucI PE=1 SV=1,fucI,4,225.28,64916.88897,2,3,106,16,20,10,6,5,5,11,20,19,23,3,2,3,4,2,2,8,2,5,3
P0AER0,Glycerol uptake facilitator protein OS=Escherichia coli (strain K12) GN=glpF PE=1 SV=1,glpF,4,165.43,29742.55109,2,46,629,2535,70,67,61,1289,82,91,124,124,117,390,236,106,154,157,125,80,77,51,77
P0A761,Putative N-acetylmannosamine-6-phosphate 2-epimerase OS=Escherichia coli (strain K12) GN=nanE PE=1 SV=1,nanE,4,154.96,24040.45142,2,22,873,141,27,53,47,51,47,28,45,41,35,15,12,14,17,16,19,64,49,45,25
P05706,Glucitol/sorbitol-specific phosphotransferase enzyme IIA component OS=Escherichia coli (strain K12) GN=srlB PE=4 SV=1,srlB,4,195.45,13277.66827,2,10,522,43,3,8,39,4,7,8,7,3,2,6,12,17,14,3,4,9,3,9,9
P66817,DnaA initiator-associating protein diaA OS=Escherichia coli (strain K12) GN=diaA PE=1 SV=1,diaA,4,277.33,21074.66913,2,293,285,325,193,231,247,219,227,198,139,128,100,71,96,240,264,212,213,166,142,132,213
P07762,"1,4-alpha-glucan-branching enzyme OS=Escherichia coli (strain K12) GN=glgB PE=1 SV=1",glgB,4,177,84265.77174,2,76,105,82,66,74,74,78,82,71,60,63,60,38,51,55,126,113,93,82,70,75,87
P06720,Alpha-galactosidase OS=Escherichia coli (strain K12) GN=melA PE=1 SV=1,melA,4,126.02,50606.23389,2,12,14,7,23,27,15,13,14,29,41,43,37,3,2,2,4,2,4,25,129,20,5
D0EX67,Beta-hexosaminidase 2 OS=Escherichia coli (strain K12) GN=nagZ2 PE=3 SV=1,nagZ,4,245.99,37552.86975,2,131,197,138,81,93,87,104,94,80,63,51,39,44,37,128,122,123,132,86,89,97,110
P10907,sn-glycerol-3-phosphate import ATP-binding protein UgpC OS=Escherichia coli (strain K12) GN=ugpC PE=1 SV=3,ugpC,4,292.26,39480.50397,2,29,31,27,26,40,21,25,21,52,76,92,123,11,15,27,21,15,17,44,31,60,21
P37388,Xylose import ATP-binding protein XylG OS=Escherichia coli (strain K12) GN=xylG PE=1 SV=1,xylG,4,168.94,56416.741,2,1,3,1,2,1,2,1,1,0,1,1,1,1,0,2,1,1,52,0,1,1,0
P32141,Uncharacterized aldolase yihT OS=Escherichia coli (strain K12) GN=yihT PE=3 SV=1,yihT,4,146.25,31944.38205,1,19,16,NA,7,13,21,10,6,21,40,12,13,6,4,6,33,2,NA,NA,17,17,NA
P0AA82,Cytosine permease OS=Escherichia coli (strain K12) GN=codB PE=1 SV=1,codB,4,260.82,43603.22932,2,211,31,37,58,190,191,179,159,296,143,62,39,16,20,159,199,124,201,149,89,352,344
P08179,Phosphoribosylglycinamide formyltransferase OS=Escherichia coli (strain K12) GN=purN PE=1 SV=1,purN,4,262.84,23205.81467,2,459,542,484,236,290,381,290,349,229,203,157,135,196,160,559,425,477,357,263,244,271,374
P0A884,Thymidylate synthase OS=Escherichia coli (strain K12) GN=thyA PE=1 SV=1,thyA,4,170.18,30442.15787,2,383,728,680,206,299,335,354,276,293,180,178,106,131,105,291,191,250,357,284,165,348,436
P37146,Ribonucleoside-diphosphate reductase 2 subunit beta OS=Escherichia coli (strain K12) GN=nrdF PE=1 SV=2,nrdF,4,170,36402.07787,2,43,46,35,38,33,29,35,29,25,30,25,28,20,14,240,52,40,72,23,23,18,26
P06960,Ornithine carbamoyltransferase chain F OS=Escherichia coli (strain K12) GN=argF PE=1 SV=4,argF,4,858.07,36785.42997,2,149,11,17,40,70,44,52,32,97,42,69,78,25,16,65,15,26,45,35,24,36,54
P0A6E1,Shikimate kinase 2 OS=Escherichia coli (strain K12) GN=aroL PE=1 SV=3,aroL,4,313.91,19120.78656,2,680,356,263,404,418,525,358,571,446,409,282,185,94,70,436,526,481,308,320,261,418,434
P0A9I3,Glycine cleavage system transcriptional repressor OS=Escherichia coli (strain K12) GN=gcvR PE=1 SV=2,gcvR,4,190.11,20737.48421,2,324,214,175,239,220,384,323,384,287,206,213,227,171,130,360,260,535,350,262,237,241,388
P13033,Anaerobic glycerol-3-phosphate dehydrogenase subunit B OS=Escherichia coli (strain K12) GN=glpB PE=1 SV=1,glpB,4,184.33,45310.44439,2,4,380,360,6,6,10,258,3,8,3,5,2,5,3,13,5,12,21,10,7,16,12
P0A7C6,Peptidase E OS=Escherichia coli (strain K12) GN=pepE PE=1 SV=1,pepE,4,303.63,24536.95979,2,140,744,462,305,300,257,195,201,181,182,144,100,15,21,37,37,23,91,207,116,214,98
P0AAD6,Serine transporter OS=Escherichia coli (strain K12) GN=sdaC PE=1 SV=1,sdaC,4,258.55,46856.86755,2,66,2738,982,57,70,66,67,34,71,61,52,50,30,39,98,130,84,75,72,68,71,70
P0AGB0,Phosphoserine phosphatase OS=Escherichia coli (strain K12) GN=serB PE=1 SV=1,serB,4,201.01,35002.29891,2,188,225,238,45,78,117,120,91,86,79,68,41,49,50,119,63,108,141,102,70,86,144
P0AGE4,Serine/threonine transporter sstT OS=Escherichia coli (strain K12) GN=sstT PE=1 SV=1,sstT,4,172.36,43431.39854,2,58,120,134,126,94,140,93,89,382,282,281,289,54,68,111,76,142,177,70,104,144,173
P07117,Sodium/proline symporter OS=Escherichia coli (strain K12) GN=putP PE=1 SV=1,putP,4,196.34,54290.62984,2,77,364,140,47,90,109,61,84,152,208,161,166,47,28,48,73,43,59,107,67,82,55
P0AAF6,Arginine transport ATP-binding protein ArtP OS=Escherichia coli (strain K12) GN=artP PE=1 SV=1,artP,4,385.47,26986.97225,2,588,853,986,400,550,530,536,560,406,408,365,431,440,375,954,798,835,667,627,696,736,690
P0A6K1,Diaminopimelate epimerase OS=Escherichia coli (strain K12) GN=dapF PE=3 SV=1,dapF,4,123.99,30171.18908,1,362,313,NA,216,257,296,235,183,251,102,153,127,30,43,225,314,315,NA,NA,160,230,NA
P0AEJ6,Ethanolamine ammonia-lyase heavy chain OS=Escherichia coli (strain K12) GN=eutB PE=1 SV=1,eutB,4,235.71,49353.63876,2,32,63,54,28,32,38,40,27,34,32,36,30,33,18,60,41,24,52,41,27,34,36
P0AEQ6,Glutamine transport system permease protein glnP OS=Escherichia coli (strain K12) GN=glnP PE=1 SV=1,glnP,4,204.82,24330.54365,2,34,43,63,38,70,79,59,90,134,140,100,86,23,18,9,93,31,44,70,40,66,73
P63228,"D,D-heptose 1,7-bisphosphate phosphatase OS=Escherichia coli (strain K12) GN=gmhB PE=1 SV=1",gmhB,4,148.27,21262.52226,2,316,297,291,273,226,291,278,250,281,248,212,171,164,178,533,270,468,357,222,247,219,318
Q47690,Homocysteine S-methyltransferase OS=Escherichia coli (strain K12) GN=mmuM PE=1 SV=2,mmuM,4,161.71,33383.85831,2,151,45,30,87,77,84,89,83,68,60,67,76,61,68,144,198,138,92,93,98,62,107
P42588,Putrescine aminotransferase OS=Escherichia coli (strain K12) GN=patA PE=1 SV=2,patA,4,150.57,49611.49687,2,34,32,109,35,46,34,56,23,38,31,23,16,6,6,23,13,19,43,30,26,28,34
P31134,Putrescine transport ATP-binding protein PotG OS=Escherichia coli (strain K12) GN=potG PE=3 SV=2,potG,4,152.79,41885.69734,2,44,1,21,38,59,56,76,83,60,54,48,53,6,11,16,13,46,52,63,46,74,91
P37774,Uncharacterized amino-acid ABC transporter ATP-binding protein YecC OS=Escherichia coli (strain K12) GN=yecC PE=3 SV=2,yecC,4,210.78,27641.8973,2,375,160,225,236,285,429,335,262,297,232,217,214,125,202,202,260,288,291,334,285,286,426
P18196,Septum site-determining protein minC OS=Escherichia coli (strain K12) GN=minC PE=1 SV=1,minC,4,167.93,24741.87589,2,171,163,179,130,104,131,116,118,101,78,70,54,86,79,192,190,188,143,101,78,95,145
P77173,Cell division protein ZipA OS=Escherichia coli (strain K12) GN=zipA PE=1 SV=3,zipA,4,301.51,36434.29823,2,1042,1587,1164,1237,1073,1162,1234,976,955,1125,965,962,1011,1223,1973,1521,1253,1544,1215,1239,1322,1367
P80668,Phenylacetaldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=feaB PE=1 SV=2,feaB,4,172.36,53647.30106,2,8,9,12,23,40,19,23,22,32,43,44,63,8,13,10,16,6,20,40,40,30,22
P09152,Respiratory nitrate reductase 1 alpha chain OS=Escherichia coli (strain K12) GN=narG PE=1 SV=4,narG,4,136.9,140382.5073,2,0,15,0,1,1,4,1,2,1,1,1,2,0,1,1,7,3,1,2,5,5,1
P0A9T4,Protein tas OS=Escherichia coli (strain K12) GN=tas PE=1 SV=1,tas,4,222.89,38457.6131,2,243,241,215,146,157,210,220,144,157,131,137,132,204,183,246,243,301,182,165,177,111,190
P10908,Glycerophosphoryl diester phosphodiesterase OS=Escherichia coli (strain K12) GN=ugpQ PE=1 SV=1,ugpQ,4,283.56,27374.04865,2,195,181,283,200,297,219,252,196,217,234,261,247,274,245,440,302,445,296,197,198,234,199
P0AB65,Acylphosphatase OS=Escherichia coli (strain K12) GN=yccX PE=1 SV=1,yccX,4,222.45,10275.2359,2,118,153,146,245,186,309,301,223,295,347,450,550,569,623,538,342,490,337,199,375,181,197
P14407,"Fumarate hydratase class I, anaerobic OS=Escherichia coli (strain K12) GN=fumB PE=1 SV=2",fumB,4,1370.79,60049.35305,1,15,26,NA,2,8,8,5,2,3,1,4,3,1,3,14,9,5,NA,NA,1,13,NA
P0AAJ8,Hydrogenase-2 operon protein hybA OS=Escherichia coli (strain K12) GN=hybA PE=3 SV=1,hybA,4,219.88,35961.55914,1,148,34,NA,126,42,89,34,5,46,12,4,7,20,30,29,34,24,NA,NA,0,14,NA
P17117,Oxygen-insensitive NADPH nitroreductase OS=Escherichia coli (strain K12) GN=nfsA PE=1 SV=2,nfsA,4,288.74,26765.85039,2,211,677,387,105,174,176,168,158,157,120,86,77,18,22,82,131,59,41,73,42,59,41
P0ADV5,Uncharacterized protein yhbW OS=Escherichia coli (strain K12) GN=yhbW PE=4 SV=1,yhbW,4,216.36,37087.72888,2,110,135,155,55,61,61,98,50,44,34,39,26,24,29,35,46,90,44,49,28,37,48
P0AE28,Protein AroM OS=Escherichia coli (strain K12) GN=aroM PE=4 SV=1,aroM,4,203.58,24883.21341,2,107,124,162,193,157,105,118,101,89,125,126,102,76,40,119,82,90,93,143,172,83,98
P0AET2,Protein hdeB OS=Escherichia coli (strain K12) GN=hdeB PE=1 SV=1,hdeB,4,131.11,12016.98866,2,75,457,681,1751,371,452,100,71,311,493,567,742,7955,9087,1155,391,7006,283,86,607,150,103
P0AAX6,Uncharacterized protein McbA OS=Escherichia coli (strain K12) GN=mcbA PE=2 SV=2,mcbA,4,621.88,8872.51866,1,6801,8351,NA,4783,5370,4942,4846,5157,6309,5318,7209,4928,59740,12793,5128,6705,6546,NA,NA,3402,5199,NA
P25738,Acidic protein msyB OS=Escherichia coli (strain K12) GN=msyB PE=4 SV=1,msyB,4,283.8,14232.26887,2,3968,1792,3425,6405,5972,5977,6567,3546,4826,5654,7061,7290,10102,10628,7899,8645,10644,4083,6795,9672,5218,4210
P0A8K5,UPF0253 protein yaeP OS=Escherichia coli (strain K12) GN=yaeP PE=1 SV=1,yaeP,4,263.94,7191.57041,2,1499,2418,1854,1312,1298,1716,1575,1369,1889,1988,1847,1748,973,654,2268,2879,2809,1567,1081,1678,847,1249
P75694,Uncharacterized protein YahO OS=Escherichia coli (strain K12) GN=yahO PE=3 SV=1,yahO,4,271.84,9871.13374,2,4029,1885,3348,6852,9467,11604,7161,4115,5649,9800,12173,14454,23320,19636,9837,3706,10048,2197,7565,14990,6352,3748
P0AAN5,Uncharacterized protein yaiA OS=Escherichia coli (strain K12) GN=yaiA PE=1 SV=1,yaiA,4,166.34,7258.62835,2,353,252,292,287,435,580,487,288,263,318,349,382,813,604,1166,343,934,330,568,813,441,319
