Genes	b_number	Product	MW_kDa	ecocyc_accession_id	Product	UniProt	biocyc_id
rpsH	b3306	30S ribosomal subunit protein S8	14.127001	ECK3293	30S ribosomal subunit protein S8	P0A7W7	EG10907-MONOMER
rpsI	b3230	30S ribosomal subunit protein S9	14.856001	ECK3219	30S ribosomal subunit protein S9	P0A7X3	EG10908-MONOMER
rpsJ	b3321	30S ribosomal subunit protein S10	11.736001	ECK3308	30S ribosomal subunit protein S10	P0A7R5	EG10909-MONOMER
rpsK	b3297	30S ribosomal subunit protein S11	13.845	ECK3284	30S ribosomal subunit protein S11	P0A7R9	EG10910-MONOMER
rpsL	b3342	30S ribosomal subunit protein S12	13.737	ECK3329	30S ribosomal subunit protein S12	P0A7S3	EG10911-MONOMER
rpsM	b3298	30S ribosomal subunit protein S13	13.099001	ECK3285	30S ribosomal subunit protein S13	P0A7S9	EG10912-MONOMER
rpsN	b3307	30S ribosomal subunit protein S14	11.580001	ECK3294	30S ribosomal subunit protein S14	P0AG59	EG10913-MONOMER
rpsO	b3165	30S ribosomal subunit protein S15	10.269	ECK3154	30S ribosomal subunit protein S15	P0ADZ4	EG10914-MONOMER
rpsP	b2609	30S ribosomal subunit protein S16	9.191	ECK2606	30S ribosomal subunit protein S16	P0A7T3	EG10915-MONOMER
rpsQ	b3311	30S ribosomal subunit protein S17	9.704	ECK3298	30S ribosomal subunit protein S17	P0AG63	EG10916-MONOMER
rpsR	b4202	30S ribosomal subunit protein S18	8.986	ECK4198	30S ribosomal subunit protein S18	P0A7T7	EG10917-MONOMER
rpsS	b3316	30S ribosomal subunit protein S19	10.43	ECK3303	30S ribosomal subunit protein S19	P0A7U3	EG10918-MONOMER
rpsT	b0023	30S ribosomal subunit protein S20	9.684	ECK0024	30S ribosomal subunit protein S20	P0A7U7	EG10919-MONOMER
rpsU	b3065	30S ribosomal subunit protein S21	8.5	ECK3055	30S ribosomal subunit protein S21	P68679	EG10920-MONOMER
rraA	b3929	ribonuclease E inhibitor protein A	17.36	ECK3921	ribonuclease E inhibitor protein A	P0A8R0	EG11879-MONOMER
rraB	b4255	ribonuclease E inhibitor protein B	15.603001	ECK4248	ribonuclease E inhibitor protein B	P0AF90	G7885-MONOMER
rrfA	b3855	5S ribosomal RNA		ECK3847	5S ribosomal RNA		RRFA-RRNA
rrfB	b3971	5S ribosomal RNA		ECK3963	5S ribosomal RNA		RRFB-RRNA
rrfC	b3759	5S ribosomal RNA		ECK3753	5S ribosomal RNA		RRFC-RRNA
rrfD	b3274	5S ribosomal RNA		ECK3261	5S ribosomal RNA		RRFD-RRNA
rrfE	b4010	5S ribosomal RNA		ECK4002	5S ribosomal RNA		RRFE-RRNA
rrfF	b3272	5S ribosomal RNA		ECK3259	5S ribosomal RNA		RRFF-RRNA
rrfG	b2588	5S ribosomal RNA		ECK2586	5S ribosomal RNA		RRFG-RRNA
rrfH	b0205	5S ribosomal RNA		ECK0205	5S ribosomal RNA		RRFH-RRNA
rrlA	b3854	23S ribosomal RNA		ECK3846	23S ribosomal RNA		RRLA-RRNA
rrlB	b3970	23S ribosomal RNA		ECK3962	23S ribosomal RNA		RRLB-RRNA
rrlC	b3758	23S ribosomal RNA		ECK3752	23S ribosomal RNA		RRLC-RRNA
rrlD	b3275	23S ribosomal RNA		ECK3262	23S ribosomal RNA		RRLD-RRNA
rrlE	b4009	23S ribosomal RNA		ECK4001	23S ribosomal RNA		RRLE-RRNA
rrlG	b2589	23S ribosomal RNA		ECK2587	23S ribosomal RNA		RRLG-RRNA
rrlH	b0204	23S ribosomal RNA		ECK0204	23S ribosomal RNA		RRLH-RRNA
rrrD	b0555	DLP12 prophage; lysozyme	17.972	ECK0546	DLP12 prophage; lysozyme	P78285	G6310-MONOMER
rrrQ	b1554	Qin prophage; putative lysozyme	19.663	ECK1548	Qin prophage; putative lysozyme	P76159	G6827-MONOMER
rrsA	b3851	16S ribosomal RNA		ECK3843	16S ribosomal RNA		RRSA-RRNA
rrsB	b3968	16S ribosomal RNA		ECK3960	16S ribosomal RNA		RRSB-RRNA
rrsC	b3756	16S ribosomal RNA		ECK3750	16S ribosomal RNA		RRSC-RRNA
rrsD	b3278	16S ribosomal RNA		ECK3265	16S ribosomal RNA		RRSD-RRNA
rrsE	b4007	16S ribosomal RNA		ECK3999	16S ribosomal RNA		RRSE-RRNA
rrsG	b2591	16S ribosomal RNA		ECK2589	16S ribosomal RNA		RRSG-RRNA
rrsH	b0201	16S ribosomal RNA		ECK0201	16S ribosomal RNA		RRSH-RRNA
rsd	b3995	regulator of sigma D	18.243	ECK3987	regulator of sigma D	P0AFX4	EG11738-MONOMER
rseA	b2572	anti-sigma-E factor RseA	24.321001	ECK2570	anti-sigma-E factor RseA	P0AFX7	EG12341-MONOMER
rseB	b2571	anti-sigma factor stabilizing protein RseB	35.75	ECK2569	anti-sigma factor stabilizing protein RseB	P0AFX9	G7348-MONOMER
rseC	b2570	protein RseC	16.639	ECK2568	protein RseC	P46187	G7347-MONOMER
rseD	b4725	<i>rpoE</i> leader peptide	6.229	ECK4582	<i>rpoE</i> leader peptide	P0DPC7	MONOMER0-4396
rseP	b0176	intramembrane zinc metalloprotease RseP	49.071003	ECK0175	intramembrane zinc metalloprotease RseP	P0AEH1	EG12436-MONOMER
rseX	b4603	small regulatory RNA RseX		ECK4412	small regulatory RNA RseX		RNA0-327
rsfS	b0637	ribosomal silencing factor RsfS	11.582001	ECK0630	ribosomal silencing factor RsfS	P0AAT6	EG11255-MONOMER
rsgA	b4161	ribosome small subunit-dependent GTPase A	39.193	ECK4157	ribosome small subunit-dependent GTPase A	P39286	G7841-MONOMER
rsmA	b0051	16S rRNA (A<sup>1518</sup>/A<sup>1519</sup>-<em>N</em><sup>6</sup>-dimethyltransferase	30.420002	ECK0052	16S rRNA (A<sup>1518</sup>/A<sup>1519</sup>-<em>N</em><sup>6</sup>-dimethyltransferase	P06992	EG10523-MONOMER
rsmB	b3289	16S rRNA m<sup>5</sup>C967 methyltransferase	48.348003	ECK3275	16S rRNA m<sup>5</sup>C967 methyltransferase	P36929	EG12163-MONOMER
rsmC	b4371	16S rRNA m<sup>2</sup>G1207 methyltransferase	37.625	ECK4362	16S rRNA m<sup>2</sup>G1207 methyltransferase	P39406	G7950-MONOMER
rsmD	b3465	16S rRNA m<sup>2</sup>G966 methyltransferase	21.678001	ECK3449	16S rRNA m<sup>2</sup>G966 methyltransferase	P0ADX9	EG10343-MONOMER
rsmE	b2946	16S rRNA m<sup>3</sup>U1498 methyltransferase	26.978	ECK2941	16S rRNA m<sup>3</sup>U1498 methyltransferase	P0AGL7	EG12366-MONOMER
rsmF	b1835	16S rRNA m<sup>5</sup>C1407 methyltransferase	53.228	ECK1834	16S rRNA m<sup>5</sup>C1407 methyltransferase	P76273	G7008-MONOMER
rsmG	b3740	16S rRNA m<sup>7</sup>G527 methyltransferase	23.431002	ECK3733	16S rRNA m<sup>7</sup>G527 methyltransferase	P0A6U5	EG10376-MONOMER
rsmH	b0082	16S rRNA m<sup>4</sup>C1402 methyltransferase	34.878002	ECK0083	16S rRNA m<sup>4</sup>C1402 methyltransferase	P60390	EG11085-MONOMER
rsmI	b3146	16S rRNA 2'-<i>O</i>-ribose C1402 methyltransferase	31.348001	ECK3134	16S rRNA 2'-<i>O</i>-ribose C1402 methyltransferase	P67087	G7641-MONOMER
rsmJ	b3497	16S rRNA m<sup>2</sup>G1516 methyltransferase	26.949001	ECK3482	16S rRNA m<sup>2</sup>G1516 methyltransferase	P68567	EG12233-MONOMER
rspA	b1581	mandelate racemase/muconate lactonizing enzyme family protein RspA	45.968002	ECK1576	mandelate racemase/muconate lactonizing enzyme family protein RspA	P38104	G6839-MONOMER
rspB	b1580	putative zinc-binding dehydrogenase RspB	36.564003	ECK1575	putative zinc-binding dehydrogenase RspB	P38105	G6838-MONOMER
rspR	b1540	DNA-binding transcriptional repressor RspR	26.565	ECK1533	DNA-binding transcriptional repressor RspR	P0ACM2	G6814-MONOMER
rssA	b1234	putative patatin-like phospholipase RssA	33.067	ECK1229	putative patatin-like phospholipase RssA	P0AFR0	EG12120-MONOMER
rssB	b1235	RssB-P // regulator of RpoS	37.30217 // 37.302002	ECK1230	RssB-P // regulator of RpoS	P0AEV1	RssB-P // regulator of RpoS
rstA	b1608	DNA-binding transcriptional regulator RstA-phosphorylated // DNA-binding transcriptional regulator RstA	27.04821 // 26.704	ECK1603	DNA-binding transcriptional regulator RstA-phosphorylated // DNA-binding transcriptional regulator RstA	P52108	DNA-binding transcriptional regulator RstA-phosphorylated // DNA-binding transcriptional regulator RstA
rstB	b1609	RstB-<i>N</i>-phospho-L-histidine // sensor histidine kinase RstB	49.282806 // 49.283	ECK1604	RstB-<i>N</i>-phospho-L-histidine // sensor histidine kinase RstB	P18392	RstB-<i>N</i>-phospho-L-histidine // sensor histidine kinase RstB
rsuA	b2183	16S rRNA pseudouridine<sup>516</sup> synthase	25.865002	ECK2177	16S rRNA pseudouridine<sup>516</sup> synthase	P0AA43	EG12044-MONOMER
rsxA	b1627	SoxR [2Fe-2S] reducing system protein RsxA	20.897001	ECK1623	SoxR [2Fe-2S] reducing system protein RsxA	P0A766	G6871-MONOMER
rsxB	b1628	SoxR [2Fe-2S] reducing system protein RsxB	20.544	ECK1624	SoxR [2Fe-2S] reducing system protein RsxB	P77223	G6872-MONOMER
rsxC	b1629	SoxR [2Fe-2S] reducing system protein RsxC	80.172005	ECK1625	SoxR [2Fe-2S] reducing system protein RsxC	P77611	G6873-MONOMER
rsxD	b1630	SoxR [2Fe-2S] reducing system protein RsxD	38.140003	ECK1626	SoxR [2Fe-2S] reducing system protein RsxD	P76182	G6874-MONOMER
rsxE	b1632	SoxR [2Fe-2S] reducing system protein RsxE	24.459002	ECK1628	SoxR [2Fe-2S] reducing system protein RsxE	P77179	G6876-MONOMER
rsxG	b1631	SoxR [2Fe-2S] reducing system flavoprotein RsxG	21.912	ECK1627	SoxR [2Fe-2S] reducing system flavoprotein RsxG	P77285	G6875-MONOMER
rtcA	b4475	RNA 3'-terminal phosphate cyclase	35.903	ECK3406	RNA 3'-terminal phosphate cyclase	P46849	G7750-MONOMER
rtcB	b3421	RNA-splicing ligase	45.222004	ECK3407	RNA-splicing ligase	P46850	G7751-MONOMER
rtcR	b3422	DNA-binding transcriptional activator RtcR	60.299004	ECK3408	DNA-binding transcriptional activator RtcR	P38035	EG12356-MONOMER
rttR	b4425	small RNA RttR		ECK1223	small RNA RttR		RNA0-164
rusA	b0550	DLP12 prophage; crossover junction endodeoxyribonuclease RusA	13.846001	ECK0541	DLP12 prophage; crossover junction endodeoxyribonuclease RusA	P0AG74	G6306-MONOMER
rutA	b1012	pyrimidine monooxygenase RutA	42.219	ECK1003	pyrimidine monooxygenase RutA	P75898	G6523-MONOMER
rutB	b1011	ureidoacrylate amidohydrolase	25.209002	ECK1002	ureidoacrylate amidohydrolase	P75897	G6522-MONOMER
rutC	b1010	3-aminoacrylate deaminase	13.7630005	ECK1001	3-aminoacrylate deaminase	P0AFQ5	G6521-MONOMER
rutD	b1009	putative aminoacrylate hydrolase RutD	28.898	ECK1000	putative aminoacrylate hydrolase RutD	P75895	G6520-MONOMER
rutE	b1008	putative malonic semialdehyde reductase	21.570002	ECK0999	putative malonic semialdehyde reductase	P75894	G6519-MONOMER
rutF	b1007	FMN reductase RutF	17.749	ECK0998	FMN reductase RutF	P75893	G6518-MONOMER
rutG	b1006	pyrimidine:H<sup>+</sup> symporter	45.557003	ECK0997	pyrimidine:H<sup>+</sup> symporter	P75892	B1006-MONOMER
rutR	b1013	DNA-binding transcriptional dual regulator RutR	23.688002	ECK1004	DNA-binding transcriptional dual regulator RutR	P0ACU2	PD01352
ruvA	b1861	Holliday junction branch migration complex subunit RuvA	22.086	ECK1862	Holliday junction branch migration complex subunit RuvA	P0A809	EG10923-MONOMER
ruvB	b1860	Holliday junction branch migration complex subunit RuvB	37.174004	ECK1861	Holliday junction branch migration complex subunit RuvB	P0A812	EG10924-MONOMER
ruvC	b1863	crossover junction endodeoxyribonuclease RuvC	18.747002	ECK1864	crossover junction endodeoxyribonuclease RuvC	P0A814	EG10925-MONOMER
rybA	b4416	small RNA RybA		ECK0806	small RNA RybA		RYBA-RNA
rybB	b4417	small regulatory RNA RybB		ECK0837	small regulatory RNA RybB		RYBB-RNA
rydB	b4430	small regulatory RNA RydB		ECK1681	small regulatory RNA RydB		RYDB-RNA
rydC	b4597	small regulatory RNA RydC		ECK4407	small regulatory RNA RydC		RNA0-328
ryeA	b4432	small antisense RNA RyeA		ECK1838	small antisense RNA RyeA		RYEA-RNA
ryeG		small RNA RyeG			small RNA RyeG		RNA0-387
ryfA	b4440	small regulatory RNA RyfA		ECK2518	small regulatory RNA RyfA		RYFA-RNA
ryfD	b4609	small regulatory RNA RyfD		ECK4418	small regulatory RNA RyfD		RNA0-331
ryhB	b4451	small regulatory RNA RyhB		ECK3426	small regulatory RNA RyhB		SRAI-RNA
ryjA	b4459	small RNA RyjA		ECK4056	small RNA RyjA		SRAL-RNA
ryjB	b4624	small RNA RyjB		ECK4431	small RNA RyjB		RNA0-333
rzoD	b4510	DLP12 prophage; putative prophage lysis lipoprotein RzoD	6.6900005	ECK0548	DLP12 prophage; putative prophage lysis lipoprotein RzoD	P58041	MONOMER0-2658
rzoQ	b4689	Qin prophage; putative lipoprotein RzoQ	9.463	ECK4503	Qin prophage; putative lipoprotein RzoQ	C1P601	MONOMER0-4369
rzoR	b4528	Rac prophage; putative prophage outer membrane lipoprotein RzoR	6.761	ECK1361	Rac prophage; putative prophage outer membrane lipoprotein RzoR	P58042	MONOMER0-2671
rzpD	b0556	DLP12 prophage; putative prophage endopeptidase RzpD	17.226002	ECK0547	DLP12 prophage; putative prophage endopeptidase RzpD	P75719	G6311-MONOMER
rzpQ	b1553	Qin prophage; DUF2514 domain-containing protein RzpQ	18.310001	ECK1547	Qin prophage; DUF2514 domain-containing protein RzpQ	P76158	G6826-MONOMER
sad	b1525	succinate semialdehyde dehydrogenase (NAD(P)<sup>+</sup>) Sad	49.718002	ECK1518	succinate semialdehyde dehydrogenase (NAD(P)<sup>+</sup>) Sad	P76149	G6811-MONOMER
safA	b1500	two-component system connector SafA	7.2720003	ECK4475	two-component system connector SafA	P76136	MONOMER0-2841
sanA	b2144	DUF218 domain-containing protein SanA	27.287	ECK2137	DUF218 domain-containing protein SanA	P0AFY2	EG12025-MONOMER
sapA	b1294	putative periplasmic binding protein SapA	61.565002	ECK1289	putative periplasmic binding protein SapA	Q47622	SAPA-MONOMER
sapB	b1293	putrescine ABC exporter membrane subunit SapB	36.038002	ECK1288	putrescine ABC exporter membrane subunit SapB	P0AGH3	SAPB-MONOMER
sapC	b1292	putrescine ABC exporter membrane protein SapC	31.548002	ECK1287	putrescine ABC exporter membrane protein SapC	P0AGH5	SAPC-MONOMER
sapD	b1291	putrescine ABC exporter ATP binding protein SapD	37.661003	ECK1286	putrescine ABC exporter ATP binding protein SapD	P0AAH4	SAPD-MONOMER
sapF	b1290	putrescine ABC exporter ATP binding protein SapF	30.570002	ECK1285	putrescine ABC exporter ATP binding protein SapF	P0AAH8	SAPF-MONOMER
satP	b0010	acetate/succinate:H<sup>+</sup> symporter	20.071001	ECK0010	acetate/succinate:H<sup>+</sup> symporter	P0AC98	EG11512-MONOMER
sbcB	b2011	exodeoxyribonuclease I	54.501003	ECK2005	exodeoxyribonuclease I	P04995	EG10926-MONOMER
sbcC	b0397	ATP-dependent structure-specific DNA nuclease - SbcC subunit	118.72101	ECK0391	ATP-dependent structure-specific DNA nuclease - SbcC subunit	P13458	EG10927-MONOMER
sbcD	b0398	ATP-dependent structure-specific DNA nuclease - SbcD subunit	44.714	ECK0392	ATP-dependent structure-specific DNA nuclease - SbcD subunit	P0AG76	EG11094-MONOMER
sbmA	b0377	peptide antibiotic/peptide nucleic acid transporter	46.459003	ECK0372	peptide antibiotic/peptide nucleic acid transporter	P0AFY6	SBMA-MONOMER
sbmC	b2009	DNA gyrase inhibitor	18.081001	ECK2003	DNA gyrase inhibitor	P33012	EG11892-MONOMER
sbp	b3917	sulfate/thiosulfate ABC transporter periplasmic binding protein Sbp	36.659	ECK3909	sulfate/thiosulfate ABC transporter periplasmic binding protein Sbp	P0AG78	SBP-MONOMER
scpA	b2917	methylmalonyl-CoA mutase	77.871	ECK2913	methylmalonyl-CoA mutase	P27253	METHYLMALONYL-COA-MUT-MONOMER
scpB	b2919	methylmalonyl-CoA decarboxylase	29.173002	ECK2915	methylmalonyl-CoA decarboxylase	P52045	G7516-MONOMER
scpC	b2920	propionyl-CoA:succinate CoA transferase	53.824	ECK2916	propionyl-CoA:succinate CoA transferase	P52043	G7517-MONOMER
sdaA	b1814	L-serine deaminase I	48.907	ECK1812	L-serine deaminase I	P16095	LSERINEDEAM1-MONOMER
sdaB	b2797	L-serine deaminase II	48.753002	ECK2792	L-serine deaminase II	P30744	LSERINEDEAM2-MONOMER
sdaC	b2796	L-serine:H+ symporter	46.906002	ECK2791	L-serine:H+ symporter	P0AAD6	SDAC-MONOMER
sdhA	b0723	succinate:quinone oxidoreductase, FAD binding protein	64.422005	ECK0712	succinate:quinone oxidoreductase, FAD binding protein	P0AC41	SDH-FLAVO
sdhB	b0724	succinate:quinone oxidoreductase, iron-sulfur cluster binding protein	26.77	ECK0713	succinate:quinone oxidoreductase, iron-sulfur cluster binding protein	P07014	SDH-FE-S
sdhC	b0721	succinate:quinone oxidoreductase, membrane protein SdhC	14.299001	ECK0710	succinate:quinone oxidoreductase, membrane protein SdhC	P69054	SDH-MEMB1
sdhD	b0722	succinate:quinone oxidoreductase, membrane protein SdhD	12.868001	ECK0711	succinate:quinone oxidoreductase, membrane protein SdhD	P0AC44	SDH-MEMB2
sdhE	b2897	FAD assembly factor	10.547001	ECK2892	FAD assembly factor	P64559	G7510-MONOMER
sdhX	b4764	small regulatory RNA SdhX		ECK4621	small regulatory RNA SdhX		RNA0-403
sdiA	b1916	DNA-binding transcriptional dual regulator SdiA	28.117	ECK1915	DNA-binding transcriptional dual regulator SdiA	P07026	PD02198
sdsN	b4719	small regulatory RNA SdsN		ECK4576	small regulatory RNA SdsN		RNA0-361
sdsR	b4433	small regulatory RNA SdsR		ECK1839	small regulatory RNA SdsR		RYEB-RNA
secA	b0098	protein translocation ATPase	102.023	ECK0099	protein translocation ATPase	P10408	SECA
secB	b3609	protein export chaperone SecB	17.277	ECK3599	protein export chaperone SecB	P0AG86	SECB
secD	b0408	Sec translocon accessory complex subunit SecD	66.632	ECK0402	Sec translocon accessory complex subunit SecD	P0AG90	SECD
secE	b3981	Sec translocon subunit SecE	13.643001	ECK3972	Sec translocon subunit SecE	P0AG96	SECE
secF	b0409	Sec translocon accessory complex subunit SecF	35.382	ECK0403	Sec translocon accessory complex subunit SecF	P0AG93	SECF
secG	b3175	Sec translocon subunit SecG	11.365001	ECK3164	Sec translocon subunit SecG	P0AG99	SECG
secM	b0097	SecA translation regulator	18.880001	ECK0098	SecA translation regulator	P62395	EG11087-MONOMER
secY	b3300	Sec translocon subunit SecY	48.512	ECK3287	Sec translocon subunit SecY	P0AGA2	SECY
selA	b3591	selenocysteine synthase	50.607002	ECK3580	selenocysteine synthase	P0A821	EG10941-MONOMER
selB	b3590	selenocysteyl-tRNA-specific translation elongation factor	68.867004	ECK3579	selenocysteyl-tRNA-specific translation elongation factor	P14081	EG10942-MONOMER
selC	b3658	tRNA-Sec(UCA)		ECK3648	tRNA-Sec(UCA)		selC-tRNA
selD	b1764	selenide, water dikinase	36.687	ECK1762	selenide, water dikinase	P16456	EG10943-MONOMER
selO	b1706	protein adenylyltransferase SelO	54.382004	ECK1704	protein adenylyltransferase SelO	P77649	G6924-MONOMER
selU	b0503	tRNA 2-selenouridine synthase	41.111	ECK0496	tRNA 2-selenouridine synthase	P33667	EG11768-MONOMER
seqA	b0687	negative modulator of initiation of replication	20.315	ECK0675	negative modulator of initiation of replication	P0AFY8	EG12197-MONOMER
serA	b2913	phosphoglycerate dehydrogenase	44.176003	ECK2909	phosphoglycerate dehydrogenase	P0A9T0	PGLYCDEHYDROG-MONOMER
serB	b4388	phosphoserine phosphatase	35.043003	ECK4380	phosphoserine phosphatase	P0AGB0	PSERPHOSPHA-MONOMER
serC	b0907	phosphoserine/phosphohydroxythreonine aminotransferase	39.783	ECK0898	phosphoserine/phosphohydroxythreonine aminotransferase	P23721	PSERTRANSAM-MONOMER
serS	b0893	serine&mdash;tRNA ligase	48.414	ECK0884	serine&mdash;tRNA ligase	P0A8L1	SERS-MONOMER
serT	b0971	tRNA-Ser(UGA)		ECK0962	tRNA-Ser(UGA)		serT-tRNA
serU	b1975	tRNA-Ser(CGA)		ECK1971	tRNA-Ser(CGA)		serU-tRNA
serV	b2695	tRNA-Ser(GCU)		ECK2690	tRNA-Ser(GCU)		serV-tRNA
serW	b0883	tRNA-Ser(GGA)		ECK0874	tRNA-Ser(GGA)		serW-tRNA
serX	b1032	tRNA-Ser(GGA)		ECK1018	tRNA-Ser(GGA)		serX-tRNA
setA	b0070	sugar exporter SetA	42.713	ECK0072	sugar exporter SetA	P31675	B0070-MONOMER
setB	b2170	sugar exporter SetB	42.746002	ECK2163	sugar exporter SetB	P33026	B2170-MONOMER
setC	b3659	putative arabinose exporter	43.493004	ECK3649	putative arabinose exporter	P31436	B3659-MONOMER
sfmA	b0530	putative fimbrial protein SfmA	18.474	ECK0523	putative fimbrial protein SfmA	P0ABW5	G6290-MONOMER
sfmC	b0531	putative fimbrial chaperone SfmC	25.458002	ECK0524	putative fimbrial chaperone SfmC	P77249	G6291-MONOMER
sfmD	b0532	putative fimbrial usher protein SfmD	95.677	ECK0525	putative fimbrial usher protein SfmD	P77468	G6292-MONOMER
sfmF	b0534	putative fimbrial protein SfmF	18.223001	ECK0527	putative fimbrial protein SfmF	P38052	EG12388-MONOMER
sfmH	b0533	putative fimbrial adhesin protein SfmH	35.696003	ECK0526	putative fimbrial adhesin protein SfmH	P75715	G6293-MONOMER
sfsA	b0146	sugar fermentation stimulation protein A	26.229002	ECK0145	sugar fermentation stimulation protein A	P0A823	EG10949-MONOMER
sfsB	b3188	putative transcriptional regulator SfsB	10.495001	ECK3177	putative transcriptional regulator SfsB	P0ACH1	EG10656-MONOMER
sgbE	b3583	L-ribulose-5-phosphate 4-epimerase SgbE	25.561	ECK3572	L-ribulose-5-phosphate 4-epimerase SgbE	P37680	EG12287-MONOMER
sgbH	b3581	3-keto-L-gulonate-6-phosphate decarboxylase SgbH	23.445002	ECK3570	3-keto-L-gulonate-6-phosphate decarboxylase SgbH	P37678	EG12285-MONOMER
sgbU	b3582	putative L-xylulose 5-phosphate 3-epimerase	32.455	ECK3571	putative L-xylulose 5-phosphate 3-epimerase	P37679	EG12286-MONOMER
sgcA	b4302	putative PTS enzyme IIA component SgcA	15.6380005	ECK4291	putative PTS enzyme IIA component SgcA	P39363	SGCA-MONOMER
sgcB	b4565	putative PTS enzyme IIB component SgcB	9.803	ECK4294	putative PTS enzyme IIB component SgcB	P58035	MONOMER0-2121
sgcC	b4304	putative PTS enzyme IIC component SgcC	46.684002	ECK4293	putative PTS enzyme IIC component SgcC	P39365	SGCC-MONOMER
sgcE	b4301	KpLE2 phage-like element; putative epimerase SgcE	23.214	ECK4290	KpLE2 phage-like element; putative epimerase SgcE	P39362	G7914-MONOMER
sgcQ	b4303	KpLE2 phage-like element; putative nucleoside triphosphatase	29.355001	ECK4292	KpLE2 phage-like element; putative nucleoside triphosphatase	P39364	G7915-MONOMER
sgcR	b4300	KpLE2 phage-like element; putative DNA-binding transcriptional regulator SgcR	29.268002	ECK4289	KpLE2 phage-like element; putative DNA-binding transcriptional regulator SgcR	P39361	G7913-MONOMER
sgcX	b4305	KpLE2 phage-like element; putative endoglucanase with Zn-dependent exopeptidase domain	40.615	ECK4295	KpLE2 phage-like element; putative endoglucanase with Zn-dependent exopeptidase domain	P39366	SGCB-MONOMER
sgrR	b0069	DNA-binding transcriptional dual regulator SgrR	63.975002	ECK0070	DNA-binding transcriptional dual regulator SgrR	P33595	EG12094-MONOMER
sgrS	b4577	small regulatory RNA SgrS		ECK0071	small regulatory RNA SgrS		RNA0-241
sgrT	b4662	PtsG glucose transporter inhibitor	5.3380003	ECK4477	PtsG glucose transporter inhibitor	C1P5Z7	MONOMER0-2842
shiA	b1981	shikimate:H+ symporter	47.817	ECK1976	shikimate:H+ symporter	P76350	SHIA-MONOMER
shoB	b4687	toxic peptide ShoB	3.1030002	ECK4502	toxic peptide ShoB	C1P611	MONOMER0-2860
sibA	b4436	small RNA SibA		ECK2068	small RNA SibA		RYEC-RNA
sibB	b4437	small RNA SibB		ECK2069	small RNA SibB		RYED-RNA
sibC	b4446	small regulatory RNA antitoxin SibC		ECK2908	small regulatory RNA antitoxin SibC		RYGC-RNA
sibD	b4447	small RNA SibD		ECK3041	small RNA SibD		C0730-RNA
sibE	b4611	small RNA SibE		ECK4420	small RNA SibE		RNA0-332
sieB	b1353	Rac prophage; phage superinfection exclusion protein	19.244001	ECK1351	Rac prophage; phage superinfection exclusion protein	P38392	EG12154-MONOMER
sixA	b2340	phosphohistidine phosphatase SixA	17.208	ECK2334	phosphohistidine phosphatase SixA	P76502	G7211-MONOMER
skp	b0178	periplasmic chaperone Skp	17.688002	ECK0177	periplasmic chaperone Skp	P0AEU7	EG10455-MONOMER
slmA	b3641	nucleoid occlusion factor SlmA	22.836	ECK3631	nucleoid occlusion factor SlmA	P0C093	EG11191-MONOMER
slp	b3506	starvation lipoprotein	20.964	ECK3490	starvation lipoprotein	P37194	EG11890-MONOMER
slt	b4392	soluble lytic murein transglycosylase	73.353004	ECK4384	soluble lytic murein transglycosylase	P0AGC3	EG10950-MONOMER
slyA	b1642	DNA-binding transcriptional dual regulator SlyA	16.353	ECK1638	DNA-binding transcriptional dual regulator SlyA	P0A8W2	G6882-MONOMER
slyB	b1641	outer membrane lipoprotein SlyB	15.602001	ECK1637	outer membrane lipoprotein SlyB	P0A905	G6881-MONOMER
slyD	b3349	FKBP-type peptidyl-prolyl <i>cis-trans</i> isomerase SlyD	20.853	ECK3336	FKBP-type peptidyl-prolyl <i>cis-trans</i> isomerase SlyD	P0A9K9	EG11663-MONOMER
slyX	b3348	protein SlyX	8.214001	ECK3335	protein SlyX	P0A8R4	EG11664-MONOMER
smf	b4473	protein Smf	40.955	ECK3272	protein Smf	P30852	EG11604-MONOMER
smg	b3284	DUF494 domain-containing protein Smg	18.51	ECK3271	DUF494 domain-containing protein Smg	P0A828	EG11605-MONOMER
smpB	b2620	SsrA-binding protein	18.269001	ECK2616	SsrA-binding protein	P0A832	EG11782-MONOMER
smrA	b1340	DNA endonuclease SmrA	21.512001	ECK1337	DNA endonuclease SmrA	P76053	G6672-MONOMER
smrB	b2331	ribosome rescue factor SmrB	21.013	ECK2325	ribosome rescue factor SmrB	P0A8B2	G7202-MONOMER
sodA	b3908	superoxide dismutase (Mn)	23.097002	ECK3901	superoxide dismutase (Mn)	P00448	SUPEROX-DISMUTMN-MONOMER
sodB	b1656	superoxide dismutase (Fe)	21.266	ECK1652	superoxide dismutase (Fe)	P0AGD3	SUPEROX-DISMUTFE-MONOMER
sodC	b1646	superoxide dismutase (Cu-Zn)	17.681002	ECK1642	superoxide dismutase (Cu-Zn)	P0AGD1	G6886-MONOMER
sohB	b1272	S49 peptidase family protein	39.366	ECK1266	S49 peptidase family protein	P0AG14	EG10956-MONOMER
sokB	b4429	putative small regulatory RNA antitoxin SokB		ECK1414	putative small regulatory RNA antitoxin SokB		RNA0-165
sokC	b4413	small regulatory RNA antitoxin SokC		ECK0019	small regulatory RNA antitoxin SokC		RNA0-141
sokE	b4835	small RNA SokE		ECK4692	small RNA SokE		RNA0-428
